,Dataset,Number of Total Matches,Detector/Descriptor,Number of Good Matches
0,Gravel Quarry Dataset,2095.040404040404,FAST+SIFT,35.17171717171717
1,Gravel Quarry Dataset,1777.4949494949494,FAST+SIFT,41.696969696969695
2,Gravel Quarry Dataset,1502.6868686868686,FAST+SIFT,0.0707070707070707
3,Gravel Quarry Dataset,2315.979797979798,FAST+SIFT,31.31313131313131
4,Gravel Quarry Dataset,1665.5656565656566,FAST+SIFT,15.929292929292929
5,Gravel Quarry Dataset,1194.040404040404,FAST+SIFT,49.74747474747475
6,Gravel Quarry Dataset,1169.2727272727273,FAST+SIFT,39.111111111111114
7,Gravel Quarry Dataset,1304.080808080808,FAST+SIFT,112.87878787878788
8,Gravel Quarry Dataset,1276.5151515151515,FAST+SIFT,34.24242424242424
9,Gravel Quarry Dataset,1082.6161616161617,FAST+SIFT,90.95959595959596
10,Gravel Quarry Dataset,1221.4141414141413,FAST+SIFT,146.3838383838384
11,Gravel Quarry Dataset,1095.2121212121212,FAST+SIFT,105.4040404040404
12,Gravel Quarry Dataset,1540.6666666666667,FAST+SIFT,44.37373737373738
13,Gravel Quarry Dataset,2464.4444444444443,FAST+SIFT,6.212121212121212
14,Gravel Quarry Dataset,1917.4747474747476,FAST+SIFT,2.01010101010101
15,Gravel Quarry Dataset,2341.313131313131,FAST+SIFT,0.08080808080808081
16,Gravel Quarry Dataset,1958.979797979798,FAST+SIFT,12.707070707070708
17,Gravel Quarry Dataset,2132.090909090909,FAST+SIFT,31.21212121212121
18,Gravel Quarry Dataset,1462.040404040404,FAST+SIFT,88.58585858585859
19,Gravel Quarry Dataset,1393.2828282828282,FAST+SIFT,82.16161616161617
20,Gravel Quarry Dataset,1397.888888888889,FAST+SIFT,86.88888888888889
21,Gravel Quarry Dataset,1591.2121212121212,FAST+SIFT,69.35353535353535
22,Gravel Quarry Dataset,1585.5454545454545,FAST+SIFT,83.47474747474747
23,Gravel Quarry Dataset,1447.1616161616162,FAST+SIFT,40.96969696969697
24,Gravel Quarry Dataset,1852.5656565656566,FAST+SIFT,34.05050505050505
25,Gravel Quarry Dataset,2350.1414141414143,FAST+SIFT,13.01010101010101
26,Gravel Quarry Dataset,2594.2626262626263,FAST+SIFT,4.404040404040404
27,Gravel Quarry Dataset,1880.3737373737374,FAST+SIFT,5.2727272727272725
28,Gravel Quarry Dataset,1666.3434343434344,FAST+SIFT,0.08080808080808081
29,Gravel Quarry Dataset,2557.5151515151515,FAST+SIFT,13.878787878787879
30,Gravel Quarry Dataset,2528.5858585858587,FAST+SIFT,27.303030303030305
31,Gravel Quarry Dataset,2399.3838383838383,FAST+SIFT,23.616161616161616
32,Gravel Quarry Dataset,2054.6060606060605,FAST+SIFT,18.404040404040405
33,Gravel Quarry Dataset,1668.5555555555557,FAST+SIFT,17.282828282828284
34,Gravel Quarry Dataset,1446.1313131313132,FAST+SIFT,35.666666666666664
35,Gravel Quarry Dataset,1165.2424242424242,FAST+SIFT,29.696969696969695
36,Gravel Quarry Dataset,1299.919191919192,FAST+SIFT,34.15151515151515
37,Gravel Quarry Dataset,1538.6666666666667,FAST+SIFT,23.242424242424242
38,Gravel Quarry Dataset,1749.909090909091,FAST+SIFT,8.525252525252526
39,Gravel Quarry Dataset,1958.8989898989898,FAST+SIFT,7.8686868686868685
40,Gravel Quarry Dataset,1235.5454545454545,FAST+SIFT,1.9292929292929293
41,Gravel Quarry Dataset,2257.010101010101,FAST+SIFT,0.09090909090909091
42,Gravel Quarry Dataset,2160.1414141414143,FAST+SIFT,6.414141414141414
43,Gravel Quarry Dataset,1895.8484848484848,FAST+SIFT,7.111111111111111
44,Gravel Quarry Dataset,2165.010101010101,FAST+SIFT,6.383838383838384
45,Gravel Quarry Dataset,1737.1010101010102,FAST+SIFT,14.454545454545455
46,Gravel Quarry Dataset,2021.1919191919192,FAST+SIFT,24.90909090909091
47,Gravel Quarry Dataset,2162.5454545454545,FAST+SIFT,24.484848484848484
48,Gravel Quarry Dataset,1405.4747474747476,FAST+SIFT,6.222222222222222
49,Gravel Quarry Dataset,2530.242424242424,FAST+SIFT,13.090909090909092
50,Gravel Quarry Dataset,1403.060606060606,FAST+SIFT,34.03030303030303
51,Gravel Quarry Dataset,1052.7575757575758,FAST+SIFT,38.07070707070707
52,Gravel Quarry Dataset,1017.2626262626262,FAST+SIFT,53.696969696969695
53,Gravel Quarry Dataset,1031.1919191919192,FAST+SIFT,47.73737373737374
54,Gravel Quarry Dataset,1145.4444444444443,FAST+SIFT,75.78787878787878
55,Gravel Quarry Dataset,1253.5454545454545,FAST+SIFT,66.65656565656566
56,Gravel Quarry Dataset,1522.888888888889,FAST+SIFT,120.8080808080808
57,Gravel Quarry Dataset,1733.0707070707072,FAST+SIFT,104.43434343434343
58,Gravel Quarry Dataset,1539.3232323232323,FAST+SIFT,23.242424242424242
59,Gravel Quarry Dataset,2047.989898989899,FAST+SIFT,18.92929292929293
60,Gravel Quarry Dataset,1402.828282828283,FAST+SIFT,0.08080808080808081
61,Gravel Quarry Dataset,1858.7575757575758,FAST+SIFT,20.717171717171716
62,Gravel Quarry Dataset,1601.20202020202,FAST+SIFT,18.03030303030303
63,Gravel Quarry Dataset,1200.4646464646464,FAST+SIFT,11.868686868686869
64,Gravel Quarry Dataset,1084.4343434343434,FAST+SIFT,10.919191919191919
65,Gravel Quarry Dataset,990.8383838383838,FAST+SIFT,56.75757575757576
66,Gravel Quarry Dataset,923.8888888888889,FAST+SIFT,29.90909090909091
67,Gravel Quarry Dataset,854.3333333333334,FAST+SIFT,27.141414141414142
68,Gravel Quarry Dataset,842.8080808080808,FAST+SIFT,39.78787878787879
69,Gravel Quarry Dataset,1260.5353535353536,FAST+SIFT,46.73737373737374
70,Gravel Quarry Dataset,1765.111111111111,FAST+SIFT,28.141414141414142
71,Gravel Quarry Dataset,1930.080808080808,FAST+SIFT,72.64646464646465
72,Gravel Quarry Dataset,1189.6161616161617,FAST+SIFT,41.7979797979798
73,Gravel Quarry Dataset,1409.4949494949494,FAST+SIFT,0.08080808080808081
74,Gravel Quarry Dataset,2089.89898989899,FAST+SIFT,38.01010101010101
75,Gravel Quarry Dataset,2894.131313131313,FAST+SIFT,27.2020202020202
76,Gravel Quarry Dataset,1916.050505050505,FAST+SIFT,5.313131313131313
77,Gravel Quarry Dataset,2894.080808080808,FAST+SIFT,0.5252525252525253
78,Gravel Quarry Dataset,2122.3939393939395,FAST+SIFT,0.08080808080808081
79,Gravel Quarry Dataset,2013.1313131313132,FAST+SIFT,8.323232323232324
80,Gravel Quarry Dataset,2055.020202020202,FAST+SIFT,20.848484848484848
81,Gravel Quarry Dataset,1663.5959595959596,FAST+SIFT,38.666666666666664
82,Gravel Quarry Dataset,1385.121212121212,FAST+SIFT,40.86868686868687
83,Gravel Quarry Dataset,1034.8080808080808,FAST+SIFT,24.555555555555557
84,Gravel Quarry Dataset,1120.2323232323233,FAST+SIFT,56.878787878787875
85,Gravel Quarry Dataset,1359.7474747474748,FAST+SIFT,72.01010101010101
86,Gravel Quarry Dataset,909.030303030303,FAST+SIFT,0.08080808080808081
87,Gravel Quarry Dataset,1090.969696969697,FAST+SIFT,25.252525252525253
88,Gravel Quarry Dataset,882.2020202020202,FAST+SIFT,29.545454545454547
89,Gravel Quarry Dataset,947.040404040404,FAST+SIFT,10.151515151515152
90,Gravel Quarry Dataset,1412.3131313131314,FAST+SIFT,44.666666666666664
91,Gravel Quarry Dataset,1858.6868686868686,FAST+SIFT,6.757575757575758
92,Gravel Quarry Dataset,1914.6868686868686,FAST+SIFT,22.343434343434343
93,Gravel Quarry Dataset,2989.717171717172,FAST+SIFT,19.95959595959596
94,Gravel Quarry Dataset,2926.7979797979797,FAST+SIFT,27.88888888888889
95,Gravel Quarry Dataset,2507.7373737373737,FAST+SIFT,0.08080808080808081
96,Gravel Quarry Dataset,2601.979797979798,FAST+SIFT,9.707070707070708
97,Gravel Quarry Dataset,2258.5454545454545,FAST+SIFT,11.666666666666666
98,Gravel Quarry Dataset,1550.6969696969697,FAST+SIFT,43.515151515151516
